city,State_ab,State_name,population,density
Aaronsburg,PA,Pennsylvania,487.0,211.0
Abanda,AL,Alabama,176.0,22.0
Abbeville,LA,Louisiana,6031.2,305.6
Abbotsford,WI,Wisconsin,3833.0,285.0
Abbott,TX,Texas,369.0,240.0
Abbottstown,PA,Pennsylvania,1026.0,725.0
Abbyville,KS,Kansas,85.0,122.0
Abercrombie,ND,North Dakota,249.0,296.0
Aberdeen,WA,Washington,11531.25,548.25
Aberdeen Gardens,WA,Washington,337.0,80.0
Aberdeen Proving Ground,MD,Maryland,2872.0,99.0
Abernathy,TX,Texas,2706.0,381.0
Abeytas,NM,New Mexico,293.0,91.0
Abie,NE,Nebraska,65.0,235.0
Abilene,TX,Texas,64905.0,474.0
Abingdon,VA,Virginia,5491.0,601.5
Abiquiu,NM,New Mexico,151.0,61.0
Abita Springs,LA,Louisiana,2614.0,219.0
Abram,TX,Texas,2328.0,266.0
Abrams,WI,Wisconsin,461.0,215.0
Absarokee,MT,Montana,1061.0,192.0
Absecon,NJ,New Jersey,8818.0,622.0
Acacia Villas,FL,Florida,381.0,2091.0
Acalanes Ridge,CA,California,1134.0,950.0
Acampo,CA,California,204.0,84.0
Accident,MD,Maryland,312.0,243.0
Accokeek,MD,Maryland,11647.0,163.0
Accomac,VA,Virginia,485.0,458.0
Accord,NY,New York,560.0,63.0
Accoville,WV,West Virginia,980.0,117.0
Aceitunas,PR,Puerto Rico,1890.0,2928.0
Acequia,ID,Idaho,133.0,96.0
Achille,OK,Oklahoma,540.0,553.0
Ackerly,TX,Texas,232.0,288.0
Ackerman,MS,Mississippi,1448.0,248.0
Ackermanville,PA,Pennsylvania,632.0,178.0
Ackley,IA,Iowa,1498.0,233.0
Ackworth,IA,Iowa,105.0,73.0
Acme,WA,Washington,108.0,6.0
Acomita Lake,NM,New Mexico,574.0,64.0
Acres Green,CO,Colorado,3100.0,1990.0
Acton,CA,California,7232.0,71.0
Acushnet Center,MA,Massachusetts,3177.0,866.0
Acworth,GA,Georgia,22818.0,980.0
Ada,OK,Oklahoma,6276.75,454.5
Adair,OK,Oklahoma,576.3333333333334,123.66666666666667
Adair Village,OR,Oregon,874.0,767.0
Adairsville,GA,Georgia,4963.0,204.0
Adairville,KY,Kentucky,885.0,290.0
Adak,AK,Alaska,326.0,3.0
