city,State_name,State_ab,ALand,AWater,Median,Stdev
Abbeville,South Carolina,SC,15362950.5,2045825.5,79637.5,120123.32193746619
Abbotsford,Wisconsin,WI,4146136.3333333335,30049.666666666668,95209.66666666667,126508.06293993024
Aberdeen,Maryland,MD,17117119.2,1522694.2,126107.4,101873.34068789826
Abernathy,Texas,TX,6989264.0,12572.0,97140.0,109770.31580176401
Abilene,Texas,TX,112090783.33333333,4673622.333333333,135521.0,131471.46408577648
Abingdon,Illinois,IL,3692046.0,0.0,77468.0,78278.27288093821
Abington,Massachusetts,MA,25798865.0,592945.0,120575.0,148214.491562105
Abita Springs,Louisiana,LA,11603115.0,24303.0,107860.0,136915.67570624402
Abrams,Wisconsin,WI,3260975.0,0.0,249132.0,208306.862917359
Absecon,New Jersey,NJ,14162656.0,4528732.0,113770.0,144458.86548960002
Acampo,California,CA,17080884.0,25477.0,124551.0,173903.797321489
Accokeek,Maryland,MD,71035601.0,3540310.0,189305.0,185820.19825119
Accomac,Virginia,VA,832102.0,1062.0,87117.0,109762.86310362304
Accord,New York,NY,9175655.0,123404.0,107164.0,87789.65977404056
Accoville,West Virginia,WV,5747231.5,33701.5,52838.0,56351.29635267185
Achille,Oklahoma,OK,720846.5,344.5,54423.0,71981.0404118982
Ackerly,Texas,TX,805187.0,0.0,300000.0,30406.761644284903
Ackerman,Mississippi,MS,5822837.0,49973.0,75674.0,90498.8608367875
Ackley,Iowa,IA,6345496.0,87634.0,88303.0,116779.738084029
Acme,Washington,WA,15906993.0,10108.0,300000.0,1747.1394085166698
Acton,California,CA,101679341.0,60418.0,161313.0,165668.190181848
Acworth,Georgia,GA,21510421.0,1374970.0,88866.0,110305.711663282
Ada,Michigan,MI,33297149.25,990935.0,113002.5,113062.31535977992
Adair,Iowa,IA,6839675.333333333,14377.0,64216.0,64046.66200385153
Adairville,Kentucky,KY,3044163.0,4945.0,71685.0,79320.7698255994
Adams,Massachusetts,MA,3674624.285714286,17570.428571428572,84184.57142857143,104207.53263127837
Adams Center,New York,NY,300502.0,0.0,300000.0,98026.7064320318
Adamstown,Maryland,MD,3461646.3333333335,13157.666666666666,290891.3333333333,106415.62378646084
Adamsville,Alabama,AL,21460011.75,38224.25,117404.0,76485.00304077612
Addison,Michigan,MI,3703611.5,55926.0,78882.0,97990.0408259785
Adel,Iowa,IA,12128962.0,45774.0,101027.0,136390.564796064
Adelphi,Maryland,MD,7107003.0,6498.0,118546.0,148159.562301191
Adena,Ohio,OH,892253.0,262.5,56850.5,53125.7784577294
Adjuntas,Puerto Rico,PR,1942319.0,0.0,21622.0,109998.924541809
Adrian,Georgia,GA,1846606.8,23145.8,99322.4,101892.99600059036
Advance,Missouri,MO,2893457.0,1726.0,79080.0,103898.890418917
Afton,Iowa,IA,7940415.875,191499.75,154896.375,127627.57514746956
Agua Dulce,California,CA,30032252.5,7323.0,132070.0,114759.4921824559
Aguada,Puerto Rico,PR,4242241.0,0.0,11331.0,18415.5419932653
Aguadilla,Puerto Rico,PR,3870980.0,759902.0,12376.0,58238.793522570406
Aguanga,California,CA,18888597.0,216496.0,85488.0,72798.76383485169
Aguas Buenas,Puerto Rico,PR,802453.0,5544.0,6986.0,10090.9571864526
Aguilar,Colorado,CO,1436503.0,0.0,35698.0,69886.43575382585
