city,state_id,state_name,population,density
New York,NY,New York,18713220,10715
Los Angeles,CA,California,12750807,3276
Chicago,IL,Illinois,8604203,4574
Miami,FL,Florida,6445545,5019
Dallas,TX,Texas,5743938,1526
Philadelphia,PA,Pennsylvania,5649300,4554
Houston,TX,Texas,5464251,1399
Atlanta,GA,Georgia,5449398,1441
Washington,DC,District of Columbia,5379184,4457
Boston,MA,Massachusetts,4688346,5532
Phoenix,AZ,Arizona,4219697,1253
Seattle,WA,Washington,3789215,3469
San Francisco,CA,California,3592294,7256
Detroit,MI,Michigan,3506126,1864
San Diego,CA,California,3220118,1686
Minneapolis,MN,Minnesota,2977172,3071
Tampa,FL,Florida,2908063,1353
Denver,CO,Colorado,2876625,1831
Brooklyn,NY,New York,2559903,14221
Queens,NY,New York,2230722,7885
Riverside,CA,California,2107852,1574
Baltimore,MD,Maryland,2106068,2830
Las Vegas,NV,Nevada,2104198,1773
Portland,OR,Oregon,2074775,1894
San Antonio,TX,Texas,2049293,1231
St. Louis,MO,Missouri,2024074,1879
Sacramento,CA,California,1898019,2029
Orlando,FL,Florida,1822394,1003
San Jose,CA,California,1798103,2218
Cleveland,OH,Ohio,1710093,1893
Pittsburgh,PA,Pennsylvania,1703266,2093
Austin,TX,Texas,1687311,1181
Cincinnati,OH,Ohio,1662691,1507
Kansas City,MO,Missouri,1636715,607
Manhattan,NY,New York,1628706,27545
Indianapolis,IN,Indiana,1588961,935
Columbus,OH,Ohio,1562009,1582
Charlotte,NC,North Carolina,1512923,1113
Virginia Beach,VA,Virginia,1478868,709
Bronx,NY,New York,1418207,12862
Milwaukee,WI,Wisconsin,1365787,2369
Providence,RI,Rhode Island,1203230,3773
Jacksonville,FL,Florida,1181496,470
Salt Lake City,UT,Utah,1098526,699
Nashville,TN,Tennessee,1081903,544
Richmond,VA,Virginia,1075798,1484
Memphis,TN,Tennessee,1066967,792
Raleigh,NC,North Carolina,1038738,1254
New Orleans,LA,Louisiana,1020886,889
Louisville,KY,Kentucky,1005654,905
