,city,state_id,state_name,population,density
0,New York,NY,New York,18713220,10715
1,Los Angeles,CA,California,12750807,3276
2,Chicago,IL,Illinois,8604203,4574
3,Miami,FL,Florida,6445545,5019
4,Dallas,TX,Texas,5743938,1526
5,Philadelphia,PA,Pennsylvania,5649300,4554
6,Houston,TX,Texas,5464251,1399
7,Atlanta,GA,Georgia,5449398,1441
8,Washington,DC,District of Columbia,5379184,4457
9,Boston,MA,Massachusetts,4688346,5532
10,Phoenix,AZ,Arizona,4219697,1253
11,Seattle,WA,Washington,3789215,3469
12,San Francisco,CA,California,3592294,7256
13,Detroit,MI,Michigan,3506126,1864
14,San Diego,CA,California,3220118,1686
15,Minneapolis,MN,Minnesota,2977172,3071
16,Tampa,FL,Florida,2908063,1353
17,Denver,CO,Colorado,2876625,1831
18,Brooklyn,NY,New York,2559903,14221
19,Queens,NY,New York,2230722,7885
20,Riverside,CA,California,2107852,1574
21,Baltimore,MD,Maryland,2106068,2830
22,Las Vegas,NV,Nevada,2104198,1773
23,Portland,OR,Oregon,2074775,1894
24,San Antonio,TX,Texas,2049293,1231
25,St. Louis,MO,Missouri,2024074,1879
26,Sacramento,CA,California,1898019,2029
27,Orlando,FL,Florida,1822394,1003
28,San Jose,CA,California,1798103,2218
29,Cleveland,OH,Ohio,1710093,1893
30,Pittsburgh,PA,Pennsylvania,1703266,2093
31,Austin,TX,Texas,1687311,1181
32,Cincinnati,OH,Ohio,1662691,1507
33,Kansas City,MO,Missouri,1636715,607
34,Manhattan,NY,New York,1628706,27545
35,Indianapolis,IN,Indiana,1588961,935
36,Columbus,OH,Ohio,1562009,1582
37,Charlotte,NC,North Carolina,1512923,1113
38,Virginia Beach,VA,Virginia,1478868,709
39,Bronx,NY,New York,1418207,12862
40,Milwaukee,WI,Wisconsin,1365787,2369
41,Providence,RI,Rhode Island,1203230,3773
42,Jacksonville,FL,Florida,1181496,470
43,Salt Lake City,UT,Utah,1098526,699
44,Nashville,TN,Tennessee,1081903,544
45,Richmond,VA,Virginia,1075798,1484
46,Memphis,TN,Tennessee,1066967,792
47,Raleigh,NC,North Carolina,1038738,1254
48,New Orleans,LA,Louisiana,1020886,889
49,Louisville,KY,Kentucky,1005654,905
50,Oklahoma City,OK,Oklahoma,972943,417
51,Bridgeport,CT,Connecticut,924449,3470
52,Buffalo,NY,New York,914341,2441
53,Fort Worth,TX,Texas,909585,1016
54,Hartford,CT,Connecticut,905152,2712
55,Tucson,AZ,Arizona,888486,889
56,Omaha,NE,Nebraska,847819,1309
57,El Paso,TX,Texas,843386,1022
58,Honolulu,HI,Hawaii,820987,2200
59,McAllen,TX,Texas,804114,841
60,Albuquerque,NM,New Mexico,761195,1155
61,Birmingham,AL,Alabama,739573,553
62,Sarasota,FL,Florida,722243,1528
63,Dayton,OH,Ohio,718353,978
64,Rochester,NY,New York,703952,2220
65,Fresno,CA,California,703498,1789
66,Allentown,PA,Pennsylvania,683794,2672
67,Tulsa,OK,Oklahoma,671033,784
68,Cape Coral,FL,Florida,668382,708
69,Concord,CA,California,652308,1633
70,Colorado Springs,CO,Colorado,642413,946
71,Charleston,SC,South Carolina,628377,480
72,Springfield,MA,Massachusetts,623401,1860
73,Grand Rapids,MI,Michigan,609314,1734
74,Mission Viejo,CA,California,590249,2058
75,Albany,NY,New York,586383,1740
76,Knoxville,TN,Tennessee,586048,733
77,Bakersfield,CA,California,579295,990
78,Ogden,UT,Utah,578523,1230
79,Baton Rouge,LA,Louisiana,570308,983
80,Akron,OH,Ohio,565208,1231
81,New Haven,CT,Connecticut,564830,2690
82,Columbia,SC,South Carolina,560041,373
83,Mesa,AZ,Arizona,518012,1448
84,Palm Bay,FL,Florida,507002,456
