city,State_name,State_ab,ALand,AWater,Median,Stdev
Abbeville,South Carolina,SC,15362950.5,2045825.5,79637.5,120123.3219
Abbotsford,Wisconsin,WI,4146136.333,30049.66667,95209.66667,126508.0629
Aberdeen,Maryland,MD,17117119.2,1522694.2,126107.4,101873.3407
Abernathy,Texas,TX,6989264,12572,97140,109770.3158
Abilene,Texas,TX,112090783.3,4673622.333,135521,131471.4641
Abingdon,Illinois,IL,3692046,0,77468,78278.27288
Abington,Massachusetts,MA,25798865,592945,120575,148214.4916
Abita Springs,Louisiana,LA,11603115,24303,107860,136915.6757
Abrams,Wisconsin,WI,3260975,0,249132,208306.8629
Absecon,New Jersey,NJ,14162656,4528732,113770,144458.8655
Acampo,California,CA,17080884,25477,124551,173903.7973
Accokeek,Maryland,MD,71035601,3540310,189305,185820.1983
Accomac,Virginia,VA,832102,1062,87117,109762.8631
Accord,New York,NY,9175655,123404,107164,87789.65977
Accoville,West Virginia,WV,5747231.5,33701.5,52838,56351.29635
Achille,Oklahoma,OK,720846.5,344.5,54423,71981.04041
Ackerly,Texas,TX,805187,0,300000,30406.76164
Ackerman,Mississippi,MS,5822837,49973,75674,90498.86084
Ackley,Iowa,IA,6345496,87634,88303,116779.7381
Acme,Washington,WA,15906993,10108,300000,1747.139409
Acton,California,CA,101679341,60418,161313,165668.1902
Acworth,Georgia,GA,21510421,1374970,88866,110305.7117
Ada,Michigan,MI,33297149.25,990935,113002.5,113062.3154
Adair,Iowa,IA,6839675.333,14377,64216,64046.662
Adairville,Kentucky,KY,3044163,4945,71685,79320.76983
Adams,Massachusetts,MA,3674624.286,17570.42857,84184.57143,104207.5326
Adams Center,New York,NY,300502,0,300000,98026.70643
Adamstown,Maryland,MD,3461646.333,13157.66667,290891.3333,106415.6238
Adamsville,Alabama,AL,21460011.75,38224.25,117404,76485.00304
Addison,Michigan,MI,3703611.5,55926,78882,97990.04083
Adel,Iowa,IA,12128962,45774,101027,136390.5648
Adelphi,Maryland,MD,7107003,6498,118546,148159.5623
Adena,Ohio,OH,892253,262.5,56850.5,53125.77846
Adjuntas,Puerto Rico,PR,1942319,0,21622,109998.9245
Adrian,Georgia,GA,1846606.8,23145.8,99322.4,101892.996
Advance,Missouri,MO,2893457,1726,79080,103898.8904
Afton,Iowa,IA,7940415.875,191499.75,154896.375,127627.5751
Agua Dulce,California,CA,30032252.5,7323,132070,114759.4922
Aguada,Puerto Rico,PR,4242241,0,11331,18415.54199
Aguadilla,Puerto Rico,PR,3870980,759902,12376,58238.79352
Aguanga,California,CA,18888597,216496,85488,72798.76383
Aguas Buenas,Puerto Rico,PR,802453,5544,6986,10090.95719
Aguilar,Colorado,CO,1436503,0,35698,69886.43575
Ahoskie,North Carolina,NC,11271243,0,58025,94175.22909
Ahwahnee,California,CA,12098033,1875.333333,160138.6667,48282.35624
Aibonito,Puerto Rico,PR,2640861.5,1817.5,14550,28807.90994
Aiken,South Carolina,SC,1704315,0,96437,49756.19189
Ainsworth,Iowa,IA,635742,0,300000,59782.74739
Aitkin,Minnesota,MN,5929090,11677,60300,82309.66356
Ajo,Arizona,AZ,12802674,0,30782.5,29847.27277
Akhiok,Alaska,AK,20126284,6322185,91988,73530.63318
Akiak,Alaska,AK,5428315,2623471,60912,64226.50721
Akin,Illinois,IL,689056,12321,300000,36272.10508
Akron,Alabama,AL,10895216.5,602501.75,78102.625,79089.28166
