State_Name,State_ab,Median,Stdev,ALand,AWater
South Carolina,SC,101820,87846.82763449139,15362950.5,2045825.5
Wisconsin,WI,121451,90831.0489677657,4146136.3333333335,30049.666666666668
Washington,WA,250000,85772.933428623,17117119.2,1522694.2
Texas,TX,97140,109770.31580176401,6989264.0,12572.0
Texas,TX,238903,52845.4789399054,112090783.33333333,4673622.333333333
Illinois,IL,77468,78278.27288093821,3692046.0,0.0
Massachusetts,MA,120575,148214.491562105,25798865.0,592945.0
Louisiana,LA,107860,136915.67570624402,11603115.0,24303.0
Wisconsin,WI,249132,208306.862917359,3260975.0,0.0
New Jersey,NJ,113770,144458.86548960002,14162656.0,4528732.0
California,CA,124551,173903.797321489,17080884.0,25477.0
Maryland,MD,189305,185820.19825119,71035601.0,3540310.0
Virginia,VA,87473,87419.0106067001,832102.0,1062.0
New York,NY,118249,125589.978218724,9175655.0,123404.0
West Virginia,WV,68599,61603.6174595251,5747231.5,33701.5
Oklahoma,OK,72366,74860.5709690737,720846.5,344.5
Texas,TX,300000,30406.761644284903,805187.0,0.0
Mississippi,MS,75674,90498.8608367875,5822837.0,49973.0
Iowa,IA,88303,116779.738084029,6345496.0,87634.0
Washington,WA,300000,1747.1394085166698,15906993.0,10108.0
California,CA,161313,165668.190181848,101679341.0,60418.0
Georgia,GA,88866,110305.711663282,21510421.0,1374970.0
Oklahoma,OK,217447,67741.9705294031,33297149.25,990935.0
Oklahoma,OK,82540,51502.6971470791,6839675.333333333,14377.0
Kentucky,KY,71685,79320.7698255994,3044163.0,4945.0
Wisconsin,WI,101590,99297.5110725665,3674624.285714286,17570.428571428572
New York,NY,300000,98026.7064320318,300502.0,0.0
Pennsylvania,PA,300000,22977.7873653085,3461646.3333333335,13157.666666666666
Tennessee,TN,250000,64619.60977983059,21460011.75,38224.25
New York,NY,89384,81641.001973525,3703611.5,55926.0
Iowa,IA,101027,136390.564796064,12128962.0,45774.0
Maryland,MD,118546,148159.562301191,7107003.0,6498.0
