StateAbbr,StateDesc,CityName,Low_Confidence_Limit,Data_Value,High_Confidence_Limit,PopulationCount
CT,Connecticut,Stamford,9.8,10.0,10.2,122643
IA,Iowa,Iowa City,12.4,13.2,14.0,67862
LA,Louisiana,Lake Charles,16.2,16.6,16.9,71993
MN,Minnesota,Minneapolis,11.3,11.4,11.6,382578
MN,Minnesota,Rochester,9.8,10.1,10.3,106769
NV,Nevada,Sparks,13.9,14.1,14.4,90264
NY,New York,New York,18.2,20.3,22.2,1631
NY,New York,New York,13.0,14.8,16.5,4120
NY,New York,New York,12.1,13.4,14.6,3907
NY,New York,New York,8.4,9.2,10.2,8866
NY,New York,New York,11.9,13.1,14.2,2931
NY,New York,New York,10.1,11.2,12.4,2251
NY,New York,New York,14.6,16.1,17.7,2256
NY,New York,New York,9.0,10.0,11.0,2603
PA,Pennsylvania,Philadelphia,17.7,19.5,21.6,4524
NC,North Carolin,Raleigh,17.3,19.5,21.5,4696
ND,North Dakota,Fargo,9.6,10.9,12.4,2780
OH,Ohio,Akron,18.6,20.0,21.5,3739
OH,Ohio,Cincinnati,20.3,21.8,23.4,2848
OH,Ohio,Columbus,17.8,19.1,20.5,2069
OH,Ohio,Columbus,8.3,9.1,10.1,3445
OH,Ohio,Dayton,20.3,26.2,31.0,396
OK,Oklahoma,Edmond,10.2,11.5,13.1,4367
OK,Oklahoma,Norman,15.7,18.0,20.3,6203
OK,Oklahoma,Oklahoma City,15.5,15.6,15.7,579999
TX,Texas,Houston,10.5,11.4,12.4,3701
TX,Texas,Houston,12.3,13.4,14.5,4362
PA,Pennsylvania,Pittsburgh,11.0,12.2,13.6,4934
SC,South Carolin,Columbia,23.1,25.0,27.0,555
TN,Tennessee,Knoxville,9.9,11.6,13.9,259
TN,Tennessee,Memphis,15.5,17.2,18.8,1745
TN,Tennessee,Memphis,13.4,15.2,16.9,4156
TX,Texas,Abilene,13.2,14.4,15.5,4604
TX,Texas,Amarillo,11.4,12.5,13.6,5288
TX,Texas,Denton,16.9,19.2,21.5,4644
TX,Texas,El Paso,10.9,12.2,13.6,6366
TX,Texas,Fort Worth,17.0,17.8,18.7,2801
TX,Texas,Fort Worth,12.3,13.1,13.8,7660
TX,Texas,San Antonio,10.6,11.5,12.5,4917
UT,Utah,Orem,12.0,12.4,12.7,88328
WA,Washington,Auburn,11.2,12.4,13.7,2222
WA,Washington,Renton,10.4,11.5,12.6,7430
WA,Washington,Spokane,15.1,15.3,15.6,208916
WA,Washington,Yakima,15.7,16.0,16.4,91067
WV,West Virginia,Charleston,10.1,11.6,13.2,3182
WI,Wisconsin,Madison,8.7,9.8,10.8,4182
WI,Wisconsin,Madison,9.3,10.8,12.5,3434
AL,Alabama,Birmingham,17.0,18.8,20.5,3390
AK,Alaska,Anchorage,11.0,12.2,13.4,940
AL,Alabama,Birmingham,11.9,13.1,14.4,3463
AZ,Arizona,Gilbert,9.6,10.8,12.1,4523
AL,Alabama,Montgomery,19.5,21.3,22.9,3344
AL,Alabama,Huntsville,7.8,8.8,9.9,3385
AL,Alabama,Tuscaloosa,15.1,16.9,18.6,3802
AZ,Arizona,Chandler,9.5,10.7,12.0,4509
AL,Alabama,Mobile,22.0,24.8,28.0,1532
AL,Alabama,Tuscaloosa,17.2,17.8,18.3,90468
AL,Alabama,Huntsville,21.3,22.3,23.4,3086
AK,Alaska,Anchorage,11.3,12.2,13.3,9068
AL,Alabama,Tuscaloosa,15.0,16.5,18.1,4466
AZ,Arizona,Chandler,10.2,11.5,12.9,2137
AK,Alaska,Anchorage,7.4,8.2,9.2,4579
AZ,Arizona,Chandler,6.7,8.1,9.2,2960
AL,Alabama,Mobile,15.3,17.0,18.7,669
AL,Alabama,Huntsville,11.3,12.7,14.4,5829
